INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
make: 'csim.exe' is up to date.
========================================
  FIR Filter - HLS vs Golden Behavior
  32 taps, low-pass, cutoff ~0.1*Fs
========================================

=== Test 1: Impulse Response ===
  n=0 | hls=-0.000518815 | golden=-0.000507 | err=1.18146e-05 PASS
  n=1 | hls=0.00061037 | golden=0.000606 | err=4.37017e-06 PASS
  n=2 | hls=0.00222785 | golden=0.002235 | err=7.14883e-06 PASS
  n=3 | hls=0.00412 | golden=0.004132 | err=1.2001e-05 PASS
  n=4 | hls=0.00500504 | golden=0.00499 | err=1.50357e-05 PASS
  n=5 | hls=0.00277718 | golden=0.002776 | err=1.18441e-06 PASS
  n=6 | hls=-0.00393689 | golden=-0.003933 | err=3.88781e-06 PASS
  n=7 | hls=-0.0142216 | golden=-0.014234 | err=1.23745e-05 PASS
  n=8 | hls=-0.0238655 | golden=-0.02388 | err=1.45249e-05 PASS
  n=9 | hls=-0.0259407 | golden=-0.025932 | err=8.73394e-06 PASS
  n=10 | hls=-0.0132756 | golden=-0.013265 | err=1.05519e-05 PASS
  n=11 | hls=0.0179449 | golden=0.017938 | err=6.88434e-06 PASS
  n=12 | hls=0.0653401 | golden=0.065338 | err=2.12342e-06 PASS
  n=13 | hls=0.119816 | golden=0.119829 | err=1.33291e-05 PASS
  n=14 | hls=0.167852 | golden=0.167867 | err=1.51992e-05 PASS
  n=15 | hls=0.196051 | golden=0.196041 | err=9.89437e-06 PASS
  n=16 | hls=0.196051 | golden=0.196041 | err=9.89437e-06 PASS
  n=17 | hls=0.167852 | golden=0.167867 | err=1.51992e-05 PASS
  n=18 | hls=0.119816 | golden=0.119829 | err=1.33291e-05 PASS
  n=19 | hls=0.0653401 | golden=0.065338 | err=2.12342e-06 PASS
  n=20 | hls=0.0179449 | golden=0.017938 | err=6.88434e-06 PASS
  n=21 | hls=-0.0132756 | golden=-0.013265 | err=1.05519e-05 PASS
  n=22 | hls=-0.0259407 | golden=-0.025932 | err=8.73394e-06 PASS
  n=23 | hls=-0.0238655 | golden=-0.02388 | err=1.45249e-05 PASS
  n=24 | hls=-0.0142216 | golden=-0.014234 | err=1.23745e-05 PASS
  n=25 | hls=-0.00393689 | golden=-0.003933 | err=3.88781e-06 PASS
  n=26 | hls=0.00277718 | golden=0.002776 | err=1.18441e-06 PASS
  n=27 | hls=0.00500504 | golden=0.00499 | err=1.50357e-05 PASS
  n=28 | hls=0.00412 | golden=0.004132 | err=1.2001e-05 PASS
  n=29 | hls=0.00222785 | golden=0.002235 | err=7.14883e-06 PASS
  n=30 | hls=0.00061037 | golden=0.000606 | err=4.37017e-06 PASS
  n=31 | hls=-0.000518815 | golden=-0.000507 | err=1.18146e-05 PASS
  n=32 | hls=0 | golden=0 | err=0 PASS
  n=33 | hls=0 | golden=0 | err=0 PASS
  n=34 | hls=0 | golden=0 | err=0 PASS
  n=35 | hls=0 | golden=0 | err=0 PASS
  n=36 | hls=0 | golden=0 | err=0 PASS
  n=37 | hls=0 | golden=0 | err=0 PASS
  n=38 | hls=0 | golden=0 | err=0 PASS
  n=39 | hls=0 | golden=0 | err=0 PASS
  n=40 | hls=0 | golden=0 | err=0 PASS
  n=41 | hls=0 | golden=0 | err=0 PASS
  n=42 | hls=0 | golden=0 | err=0 PASS
  n=43 | hls=0 | golden=0 | err=0 PASS
  n=44 | hls=0 | golden=0 | err=0 PASS
  n=45 | hls=0 | golden=0 | err=0 PASS
  n=46 | hls=0 | golden=0 | err=0 PASS
  n=47 | hls=0 | golden=0 | err=0 PASS
  n=48 | hls=0 | golden=0 | err=0 PASS
  n=49 | hls=0 | golden=0 | err=0 PASS
  n=50 | hls=0 | golden=0 | err=0 PASS
  n=51 | hls=0 | golden=0 | err=0 PASS
  n=52 | hls=0 | golden=0 | err=0 PASS
  n=53 | hls=0 | golden=0 | err=0 PASS
  n=54 | hls=0 | golden=0 | err=0 PASS
  n=55 | hls=0 | golden=0 | err=0 PASS
  n=56 | hls=0 | golden=0 | err=0 PASS
  n=57 | hls=0 | golden=0 | err=0 PASS
  n=58 | hls=0 | golden=0 | err=0 PASS
  n=59 | hls=0 | golden=0 | err=0 PASS
  n=60 | hls=0 | golden=0 | err=0 PASS
  n=61 | hls=0 | golden=0 | err=0 PASS
  n=62 | hls=0 | golden=0 | err=0 PASS
  n=63 | hls=0 | golden=0 | err=0 PASS
  Impulse Response: PASSED

=== Test 2: Passband Sine (freq = 0.05 * Fs) ===
  n=28 | x=0.587785 | hls=-0.701349 | golden=-0.701381 | err=3.22461e-05
  n=82 | x=0.587786 | hls=0.884541 | golden=0.884593 | err=5.16176e-05
  n=83 | x=0.809018 | hls=0.701976 | golden=0.702017 | err=4.05312e-05
  n=84 | x=0.951057 | hls=0.450696 | golden=0.450722 | err=2.5481e-05
  n=85 | x=1 | hls=0.155299 | golden=0.155307 | err=8.03173e-06
  n=86 | x=0.951056 | hls=-0.155299 | golden=-0.15531 | err=1.0252e-05
  n=87 | x=0.809016 | hls=-0.450696 | golden=-0.450724 | err=2.75373e-05
  n=88 | x=0.587785 | hls=-0.701976 | golden=-0.702018 | err=4.20213e-05
  n=89 | x=0.309017 | hls=-0.884541 | golden=-0.884594 | err=5.25117e-05
  n=90 | x=-7.15493e-08 | hls=-0.980522 | golden=-0.980579 | err=5.78761e-05
  n=91 | x=-0.309017 | hls=-0.980522 | golden=-0.980579 | err=5.77569e-05
  n=92 | x=-0.587786 | hls=-0.884541 | golden=-0.884593 | err=5.17964e-05
  n=93 | x=-0.809017 | hls=-0.701976 | golden=-0.702017 | err=4.07696e-05
  n=94 | x=-0.951057 | hls=-0.450696 | golden=-0.450722 | err=2.58982e-05
  n=95 | x=-1 | hls=-0.155299 | golden=-0.155308 | err=8.46386e-06
  n=96 | x=-0.951056 | hls=0.155299 | golden=0.155309 | err=9.84967e-06
  n=97 | x=-0.809016 | hls=0.450696 | golden=0.450724 | err=2.72095e-05
  n=98 | x=-0.587784 | hls=0.701976 | golden=0.702018 | err=4.17829e-05
  n=99 | x=-0.309016 | hls=0.884541 | golden=0.884594 | err=5.23925e-05
  n=100 | x=1.35106e-06 | hls=0.980522 | golden=0.980579 | err=5.78761e-05
  n=101 | x=0.309018 | hls=0.980522 | golden=0.980579 | err=5.78165e-05
  n=102 | x=0.587787 | hls=0.884541 | golden=0.884593 | err=5.19753e-05
  n=103 | x=0.809018 | hls=0.701976 | golden=0.702017 | err=4.11272e-05
  n=104 | x=0.951057 | hls=0.450696 | golden=0.450723 | err=2.62856e-05
  n=105 | x=1 | hls=0.155299 | golden=0.155308 | err=8.88109e-06
  n=106 | x=0.951056 | hls=-0.155299 | golden=-0.155309 | err=9.35793e-06
  n=107 | x=0.809016 | hls=-0.450696 | golden=-0.450723 | err=2.67625e-05
  n=108 | x=0.587783 | hls=-0.701976 | golden=-0.702018 | err=4.15444e-05
  n=109 | x=0.309015 | hls=-0.884541 | golden=-0.884594 | err=5.22137e-05
  n=110 | x=-2.63058e-06 | hls=-0.980522 | golden=-0.980579 | err=5.77569e-05
  n=111 | x=-0.30902 | hls=-0.980522 | golden=-0.980579 | err=5.75185e-05
  n=112 | x=-0.587785 | hls=-0.884542 | golden=-0.884593 | err=5.1558e-05
  n=113 | x=-0.809017 | hls=-0.701976 | golden=-0.702017 | err=4.04119e-05
  n=114 | x=-0.951056 | hls=-0.450696 | golden=-0.450722 | err=2.5332e-05
  n=115 | x=-1 | hls=-0.155299 | golden=-0.155307 | err=7.94232e-06
  n=116 | x=-0.951057 | hls=0.1553 | golden=0.15531 | err=1.01179e-05
  n=117 | x=-0.809017 | hls=0.450697 | golden=0.450724 | err=2.72095e-05
  n=118 | x=-0.587785 | hls=0.701977 | golden=0.702018 | err=4.1604e-05
  n=119 | x=-0.309017 | hls=0.884542 | golden=0.884594 | err=5.23329e-05
  n=120 | x=9.5399e-08 | hls=0.980521 | golden=0.980579 | err=5.84126e-05
  n=121 | x=0.309017 | hls=0.98052 | golden=0.980579 | err=5.9247e-05
  n=122 | x=0.587786 | hls=0.884538 | golden=0.884592 | err=5.44786e-05
  n=123 | x=0.809017 | hls=0.701971 | golden=0.702016 | err=4.47631e-05
  n=124 | x=0.951057 | hls=0.45069 | golden=0.450721 | err=3.05772e-05
  n=125 | x=1 | hls=0.155293 | golden=0.155307 | err=1.32471e-05
  n=126 | x=0.951056 | hls=-0.155305 | golden=-0.15531 | err=5.61774e-06
  n=127 | x=0.809016 | hls=-0.4507 | golden=-0.450724 | err=2.40505e-05
  Max output amplitude (settled): 0.980522
  Max HLS vs golden error: 5.9247e-05
  Passband Sine: PASSED

=== Test 3: Stopband Sine (freq = 0.40 * Fs) ===
  n=28 | x=0.951056 | hls=0.000235591 | golden=0.000255444 | err=1.98526e-05
  n=29 | x=-0.587785 | hls=0.000558708 | golden=0.000557887 | err=8.20844e-07
  n=30 | x=1.90798e-07 | hls=0.000169913 | golden=0.000156746 | err=1.31676e-05
  n=31 | x=0.587784 | hls=-0.000474866 | golden=-0.000454053 | err=2.08131e-05
  n=32 | x=-0.951056 | hls=0.000293478 | golden=0.000281134 | err=1.23438e-05
  n=33 | x=0.951058 | hls=0 | golden=2.28494e-07 | err=2.28494e-07
  n=34 | x=-0.587789 | hls=-0.000293478 | golden=-0.000280701 | err=1.27767e-05
  n=35 | x=5.30886e-06 | hls=0.000474866 | golden=0.000454406 | err=2.04601e-05
  n=36 | x=0.58778 | hls=-0.000474866 | golden=-0.000454466 | err=2.04002e-05
  n=37 | x=-0.951057 | hls=0.000293478 | golden=0.000280649 | err=1.28287e-05
  n=38 | x=0.951057 | hls=0 | golden=-2.31434e-07 | err=2.31434e-07
  n=39 | x=-0.587787 | hls=-0.000293478 | golden=-0.000281057 | err=1.24208e-05
  n=40 | x=2.79753e-06 | hls=0.000474866 | golden=0.000454176 | err=2.06899e-05
  n=41 | x=0.587782 | hls=-0.000474866 | golden=-0.000454504 | err=2.03621e-05
  n=42 | x=-0.951055 | hls=0.000293478 | golden=0.000280773 | err=1.2705e-05
  n=43 | x=0.951058 | hls=0 | golden=2.89001e-08 | err=2.89001e-08
  n=44 | x=-0.587785 | hls=-0.000293478 | golden=-0.000280713 | err=1.27649e-05
  n=45 | x=2.86197e-07 | hls=0.000474866 | golden=0.000454523 | err=2.03431e-05
  n=46 | x=0.587784 | hls=-0.000474866 | golden=-0.00045426 | err=2.06055e-05
  n=47 | x=-0.951056 | hls=0.000293478 | golden=0.000280921 | err=1.25563e-05
  n=48 | x=0.951058 | hls=0 | golden=-1.49303e-08 | err=1.49303e-08
  n=49 | x=-0.587789 | hls=-0.000293478 | golden=-0.000281005 | err=1.24729e-05
  n=50 | x=5.40426e-06 | hls=0.000474866 | golden=0.000454043 | err=2.08231e-05
  n=51 | x=0.58778 | hls=-0.000474866 | golden=-0.000454873 | err=1.99926e-05
  n=52 | x=-0.951054 | hls=0.000293478 | golden=0.000280263 | err=1.32143e-05
  n=53 | x=0.951059 | hls=0 | golden=-5.18747e-07 | err=5.18747e-07
  n=54 | x=-0.587793 | hls=-0.000293478 | golden=-0.000281201 | err=1.22765e-05
  n=55 | x=1.05223e-05 | hls=0.000474866 | golden=0.000454246 | err=2.06198e-05
  n=56 | x=0.587788 | hls=-0.000474866 | golden=-0.000454271 | err=2.0595e-05
  n=57 | x=-0.951057 | hls=0.000293478 | golden=0.000281199 | err=1.22787e-05
  n=58 | x=0.951056 | hls=0 | golden=5.44242e-07 | err=5.44242e-07
  n=59 | x=-0.587785 | hls=-0.000293478 | golden=-0.000280245 | err=1.32326e-05
  n=60 | x=3.81596e-07 | hls=0.000474866 | golden=0.000454902 | err=1.99636e-05
  n=61 | x=0.587784 | hls=-0.000474866 | golden=-0.000454034 | err=2.08313e-05
  n=62 | x=-0.951056 | hls=0.000293478 | golden=0.000280953 | err=1.25243e-05
  n=63 | x=0.951058 | hls=0 | golden=-1.11904e-07 | err=1.11904e-07
  n=64 | x=-0.587789 | hls=-0.000293478 | golden=-0.000281089 | err=1.23886e-05
  n=65 | x=5.49966e-06 | hls=0.000474866 | golden=0.000454131 | err=2.07344e-05
  n=66 | x=0.58778 | hls=-0.000474866 | golden=-0.000454487 | err=2.03787e-05
  n=67 | x=-0.951054 | hls=0.000293478 | golden=0.000281077 | err=1.24009e-05
  n=68 | x=0.951059 | hls=0 | golden=6.70057e-07 | err=6.70057e-07
  n=69 | x=-0.587793 | hls=-0.000293478 | golden=-0.000279705 | err=1.37725e-05
  n=70 | x=1.06177e-05 | hls=0.000474866 | golden=0.000455854 | err=1.90118e-05
  n=71 | x=0.587776 | hls=-0.000474866 | golden=-0.000452814 | err=2.20513e-05
  n=72 | x=-0.951053 | hls=0.000293478 | golden=0.000282303 | err=1.11744e-05
  n=73 | x=0.951056 | hls=0 | golden=1.16034e-06 | err=1.16034e-06
  n=74 | x=-0.587785 | hls=-0.000293478 | golden=-0.000280125 | err=1.33522e-05
  n=75 | x=4.76995e-07 | hls=0.000474866 | golden=0.000454707 | err=2.01591e-05
  n=76 | x=0.587784 | hls=-0.000474866 | golden=-0.000454397 | err=2.04687e-05
  n=77 | x=-0.951056 | hls=0.000293478 | golden=0.000280649 | err=1.2829e-05
  n=78 | x=0.951058 | hls=0 | golden=-1.86177e-07 | err=1.86177e-07
  n=79 | x=-0.587789 | hls=-0.000293478 | golden=-0.000280951 | err=1.25264e-05
  n=80 | x=5.59506e-06 | hls=0.000474866 | golden=0.000454341 | err=2.05242e-05
  n=81 | x=0.58778 | hls=-0.000474866 | golden=-0.000454364 | err=2.05013e-05
  n=82 | x=-0.951054 | hls=0.000293478 | golden=0.000280878 | err=1.25997e-05
  n=83 | x=0.951059 | hls=0 | golden=5.61704e-09 | err=5.61704e-09
  n=84 | x=-0.587793 | hls=-0.000293478 | golden=-0.000280853 | err=1.2625e-05
  n=85 | x=1.07131e-05 | hls=0.000474866 | golden=0.000454334 | err=2.05321e-05
  n=86 | x=0.587776 | hls=-0.000474866 | golden=-0.000454453 | err=2.04124e-05
  n=87 | x=-0.951053 | hls=0.000293478 | golden=0.000280774 | err=1.27034e-05
  n=88 | x=0.951056 | hls=0 | golden=-1.75205e-08 | err=1.75205e-08
  n=89 | x=-0.587785 | hls=-0.000293478 | golden=-0.000280814 | err=1.26635e-05
  n=90 | x=5.72394e-07 | hls=0.000474866 | golden=0.000454451 | err=2.04143e-05
  n=91 | x=0.587784 | hls=-0.000474866 | golden=-0.000454314 | err=2.05517e-05
  n=92 | x=-0.951056 | hls=0.000293478 | golden=0.000280893 | err=1.25848e-05
  n=93 | x=0.951058 | hls=0 | golden=5.4366e-08 | err=5.4366e-08
  n=94 | x=-0.587789 | hls=-0.000293478 | golden=-0.000280789 | err=1.26885e-05
  n=95 | x=5.69046e-06 | hls=0.000474866 | golden=0.000454403 | err=2.04626e-05
  n=96 | x=0.58778 | hls=-0.000474866 | golden=-0.000454404 | err=2.04619e-05
  n=97 | x=-0.951054 | hls=0.000293478 | golden=0.000280804 | err=1.26734e-05
  n=98 | x=0.951059 | hls=0 | golden=-4.85452e-08 | err=4.85452e-08
  n=99 | x=-0.587793 | hls=-0.000293478 | golden=-0.000280882 | err=1.25957e-05
  n=100 | x=1.08085e-05 | hls=0.000474866 | golden=0.000454324 | err=2.05419e-05
  n=101 | x=0.587776 | hls=-0.000474866 | golden=-0.000454445 | err=2.04209e-05
  n=102 | x=-0.951053 | hls=0.000293478 | golden=0.000280802 | err=1.26758e-05
  n=103 | x=0.951061 | hls=0 | golden=-3.63798e-09 | err=3.63798e-09
  n=104 | x=-0.587797 | hls=-0.000293478 | golden=-0.000280786 | err=1.2692e-05
  n=105 | x=1.59266e-05 | hls=0.00047485 | golden=0.000454456 | err=2.03937e-05
  n=106 | x=0.587772 | hls=-0.000474847 | golden=-0.000454319 | err=2.05277e-05
  n=107 | x=-0.951051 | hls=0.000293546 | golden=0.000280871 | err=1.26744e-05
  n=108 | x=0.951062 | hls=1.25736e-07 | golden=2.61934e-08 | err=9.95428e-08
  n=109 | x=-0.587801 | hls=-0.000293325 | golden=-0.000280815 | err=1.25104e-05
  n=110 | x=2.10446e-05 | hls=0.000474935 | golden=0.000454372 | err=2.05622e-05
  n=111 | x=0.587767 | hls=-0.000474951 | golden=-0.00045441 | err=2.05412e-05
  n=112 | x=-0.951059 | hls=0.000293093 | golden=0.000280828 | err=1.22648e-05
  n=113 | x=0.951055 | hls=-6.70593e-07 | golden=-3.66708e-09 | err=6.66926e-07
  n=114 | x=-0.587781 | hls=-0.000294242 | golden=-0.000280863 | err=1.33793e-05
  n=115 | x=-4.35487e-06 | hls=0.000474393 | golden=0.000454367 | err=2.0026e-05
  n=116 | x=0.587788 | hls=-0.000474523 | golden=-0.000454426 | err=2.00969e-05
  n=117 | x=-0.951057 | hls=0.000295158 | golden=0.000280821 | err=1.43372e-05
  n=118 | x=0.951056 | hls=3.36228e-06 | golden=6.2515e-08 | err=3.29976e-06
  n=119 | x=-0.587785 | hls=-0.000288418 | golden=-0.000280656 | err=7.7626e-06
  n=120 | x=7.63192e-07 | hls=0.000481235 | golden=0.000454647 | err=2.6588e-05
  n=121 | x=0.587784 | hls=-0.00046793 | golden=-0.000454126 | err=1.38034e-05
  n=122 | x=-0.951056 | hls=0.000300047 | golden=0.000280928 | err=1.91186e-05
  n=123 | x=0.951058 | hls=5.31911e-06 | golden=-2.53349e-07 | err=5.57246e-06
  n=124 | x=-0.587789 | hls=-0.000290018 | golden=-0.00028158 | err=8.43764e-06
  n=125 | x=5.88126e-06 | hls=0.000476274 | golden=0.000453103 | err=2.3171e-05
  n=126 | x=0.58778 | hls=-0.000475271 | golden=-0.000456117 | err=1.91539e-05
  n=127 | x=-0.951054 | hls=0.000291825 | golden=0.0002789 | err=1.2925e-05
  Max output amplitude (settled): 0.000481235
  Max HLS vs golden error: 2.6588e-05
  Stopband Sine: PASSED

========================================
  SUMMARY
  Impulse Response : PASS
  Passband Sine    : PASS
  Stopband Sine    : PASS
  Overall          : ALL PASS
========================================
INFO [HLS SIM]: The maximum depth reached by any hls::stream() instance in the design is 128
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
